position,person,personID,start,end
President,Leonel Fernández,Q151944,1996-08-16,2000-08-16
President,Leonel Fernández,Q151944,2004-08-16,2012-08-16
President,Danilo Medina,Q57429,2012-08-16,2020-08-16
President,Luis Abinader,Q16594097,2020-08-16,
Minister of Foreign Affairs,Eduardo Latorre Rodríguez,Q108407634,1996,2000
Minister of Foreign Affairs,Frank Guerrero Prats,Q108407635,2003,2004
Minister of Foreign Affairs,Miguel Vargas,Q9032878,2016-08-16,2020-08-16
Minister of Foreign Affairs,Roberto Álvarez Gil,Q98222557,2020-08-16,
ambassador to Mexico,Joaquín Balaguer,Q147989,1947-12-09,2002-07-14
ambassador to Mexico,Ramón Brea Messina,Q109455187,1955-06-29,
ambassador to Mexico,Rafael Calventi Gaviño,Q16624085,2000-10-03,2018-08-19
ambassador to Mexico,Fernando Pérez Memén,Q21232811,2017-05-23,
