id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q108407634,Eduardo Latorre Rodríguez,male,,,,,,
Q108407635,Frank Guerrero Prats,male,,,,,,
Q109455187,Ramón Brea Messina,male,,,,,,
Q147989,Joaquín Balaguer,male,1902-09-01,11,2002-07-14,11,Joaquin Balaguer 1977.jpg,Joaquín Balaguer
Q151944,Leonel Fernández,male,1953-12-26,11,,,Leonel Fernandez Reyna.jpg,Leonel Fernández
Q16594097,Luis Abinader,male,1967-07-12,11,,,President Abinader 2020.jpg,Luis Abinader
Q16624085,Rafael Calventi Gaviño,male,1932-03-18,11,2018-08-19,11,Rafael Calventi 01.jpg,Rafael Calventi
Q17591796,José Rafael Abinader Wassaf,male,1929-03-02,11,2018-11-04,11,,José Rafael Abinader
Q21232811,Fernando Pérez Memén,male,1943-02-02,11,,,,
Q57429,Danilo Medina,male,1951-11-10,11,,,V Cumbre CELAC- República Dominicana (32130698470) (cropped).jpg,Danilo Medina
Q9032878,Miguel Vargas,male,1950-09-26,11,,,Miguel vargas y tavito subervi cropped.jpg,Miguel Vargas
Q98222557,Roberto Álvarez Gil,male,1944-06-07,11,,,Roberto Álvarez Gil 2020.jpg,
