item,itemLabel,minister,ministerLabel,began,ended
Q6866816,Ministry of Economy of the Dominican Republic,,,2006,
Q6017274,Ministry of Education of the Dominican Republic,,,1844,
Q18416631,Ministry of Energy and Mining Of the Dominican Republic,,,2013,
Q6017397,Ministry of Environment and Natural Resources of the Dominican Republic,,,,
Q28344904,Ministry of External Relations  of the Dominican Republic,Q28662562,Minister of Foreign Affairs,,
Q6866929,Ministry of Finance of the Dominican Republic,,,,
Q27009793,Ministry of Industry and Trade of the Dominican Republic,,,1966,
Q30908803,Ministry of Internal Affairs and Police of the Dominican Republic,,,,
Q90746249,Ministry of Public Health of the Dominican Republic,,,,
Q30917252,Ministry of Tourism of the Dominican Republic,,,1979,
Q30909878,Public Ministry of the Dominican Republic,,,,
